sample	community	div	div.rda	level	MVP1.4	Q2.87	CHA0	F113	Phl1c2	Pf.5	M1.96	Q8R1.96	breadth	connectance	nestedness	FD	dissim	siderophore.SU.	IAA.ng.ml.	p.solu	Gas.pmol.L..	pd.phlD	pd.old	pd.pseu	toxin1	toxin2	inhib.rs	inhib.fus	inhib.rhizo	inhib.py	DAPG.ppm	phlD20	phlD_ck	X16S	ck16s	di_20	NH4	NO3	WSOC	WSON	N	C	CNRatio	DNAc	promote	dryweight	K.ppm	P.ppm	Fe.ppm	Plant.N	bce15	bce25	bce35	rel.ab	otu.richness	otu.shannon	PD	SR	otu.alpha	otu.evenness	otu.richness.delta	otu.richness.norm	ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs	ntaxa	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	runs	pae
s11	11	1	50	1	0	0	1	0	0	0	0	0	54.17	0.541666667	0	0	0	0.32112	9.488210479	624.6	341.655366	0	0	0	38.72223496	34.92910706	44.75261143	9.4	6	11	7058.82	6.82083592	6.357337894	10.73	11.02	0	1.4	7.854	84.970047	16.50932693	0.241245	2.24	9.285166532	25	32.66666667	1.793	26.918015	4.1454425	0.13067	32974.91586	100	79.83193277	77.92642141	0.000123264	3142	6.38543439	207.1612	3076	892.2984541	0.792964091	31	0.996464159	3076	0.002156113	0.004516918	0.001219174	2	-1.936397111	0.002	999	3076	0.083900853	0.112533238	0.006054354	1	-4.729221794	0.001	999	0.593398696
s12	12	1	50	1	0	0	0	1	0	0	0	0	58.33	0.583333333	0	0	0	0.582255083	11.97304468	576.9	304.082834	0	0	0	24.50194644	33.81905107	43.64255544	6.4	7	9.75	2323.53	7.542249302	6.357337894	10.55	11.02	0	1.402	16.647	101.9171677	39.61613846	0.2345673	2.21	9.421603096	20.8	23.59259259	1.67	19.404481	3.259425	0.108772875	40076.44212	100	76.47058824	69.89966555	0.000982312	2729	5.978118957	184.52729	2642	737.6497387	0.755605764	-382	-12.27900996	2642	0.001564928	0.004982484	0.001674713	1	-2.040681182	0.001	999	2642	0.072203173	0.112576185	0.007594704	1	-5.315942764	0.001	999	0.540814079
s13	13	1	50	1	0	0	0	0	1	0	0	0	62.5	0.625	0	0	0	0.412815773	10.78668979	634	339.891789	0	0	0	29.54627239	35.60201711	45.42552148	8.75	6.5	7	1676.47	7.15500044	6.357337894	10.6	11.02	0	1.488	20.03	83.39605713	39.55811691	0.250097	2.26	9.03649384	24.1	27.48148149	1.72	26.8145975	2.429225	0.1010745	37208.02105	100	63.02521008	63.87959866	0.000358922	3700	6.897421691	227.20813	3548	1121.683032	0.839501915	589	18.93281903	3548	0.001226285	0.004149023	0.000871356	1	-3.354239045	0.001	999	3548	0.080670169	0.113017163	0.004555539	1	-7.100584841	0.001	999	0.5934077
s14	14	1	50	1	0	0	0	0	0	1	0	0	62.5	0.625	0	0	0	0.606284658	8.20715785	611.2	343.1477618	0	0	0	47.78435672	57.59438752	65.30662433	13.5	11.5	14.25	5958.82	7.219044496	6.357337894	10.53	11.02	0	1.604	33.191	86.908889	43.00931	0.2444678	2.3	9.408191999	23.9	19.92592593	1.62	22.2962	3.2605	0.12004825	31506.83201	100	79.83193277	73.91304348	0.000488702	3599	6.685693808	221.19814	3473	1076.099905	0.816482411	488	15.68627451	3473	0.001451909	0.004185522	0.001009271	1	-2.708503548	0.001	999	3473	0.086668216	0.113031723	0.005644032	1	-4.671041403	0.001	999	0.560583359
s15	15	1	50	1	0	0	0	0	0	0	1	0	64.58	0.645833333	0	0	0	0.553912508	12.2526376	292	340.7170252	0	0	0	21.91599335	38.3771571	48.20066147	11.5	10	13.25	5029.41	6.947779398	6.357337894	10.77	11.02	0.125	1.702	35.921	91.39117432	75.54460907	0.26883	2.12	7.886024625	28.2	22.81481482	1.66	22.342215	3.52615	0.10899185	30827.67999	75.25773195	89.91596639	77.92642141	0.000150584	3855	6.847889574	237.2047	3715	1185.14206	0.829330852	744	23.91513983	3715	0.001172174	0.004023161	0.001046345	1	-2.724710822	0.001	999	3715	0.086006905	0.113093219	0.005482959	1	-4.940090375	0.001	999	0.57464971
s16	16	1	50	1	0	0	0	0	0	0	0	1	58.33	0.583333333	0	0	0	0.483672212	9.54479932	329.6	349.5427802	0	0	0	29.09974159	40.38606374	50.20956811	10.5	7.25	10.75	8411.76	7.23246691	6.357337894	10.88	11.02	0.0625	1.668	14.544	97.00932	73.0093	0.27071	2.22	8.20065753	38.8	20.48148148	1.63	24.87975	3.9833975	0.15208525	38799.43645	87.62886598	76.47058824	69.89966555	0.000225147	3667	6.688145248	225.95276	3569	1112.854159	0.81491897	556	17.87206686	3569	0.002330531	0.004109872	0.000964265	2	-1.845281213	0.002	999	3569	0.09333678	0.113049806	0.005103966	1	-3.862295471	0.001	999	0.572413627
s17	17	2	20	1	1	1	0	0	0	0	0	0	62.5	0.583333333	4.568633618	0.129084546	0.133333333	0.621072089	9.78417682	531.7	340.53264	0.1338	0.3102	0.0024	31.93104127	61.79147976	57.86207801	7.5	9.75	11	3558.82	7.807997411	6.357337894	10.65	11.02	0.1875	1.75	26.775	101.0094	68.99031	0.2209187	2.25	10.18474217	34.9	24.55555556	1.684	30.98763	2.9499	0.166085	36047.92035	62.88659793	49.57983193	67.89297659	0.00143879	3159	6.450220919	207.35899	3074	901.9695674	0.800473104	48	1.542912247	3074	0.001841736	0.004501896	0.0012451	1	-2.136502481	0.001	999	3074	0.08826117	0.112770372	0.006042256	1	-4.056299884	0.001	999	0.562374371
s18	18	2	20	1	0	1	1	0	0	0	0	0	62.5	0.541666667	8.299091724	0.296402411	0.266666667	0.676524954	12.13582138	613	339.835574	0.2838	0.5896	0.0289	41.97062385	56.83552181	66.65902617	5.67	8.25	6.75	1147.06	7.700808818	6.357337894	10.59	11.02	0	1.402	42.614	89.99705	70.0012	0.230934	2.4	10.3925797	25.2	13.7037037	1.53	36.2866	4.6217	0.1645425	42211.29692	100	56.30252101	59.86622074	0.001290651	3445	6.725190959	220.02132	3337	1016.503002	0.825715882	334	10.73609772	3337	0.001737433	0.004296273	0.000919315	1	-2.783421249	0.001	999	3337	0.091578194	0.113001288	0.004598646	1	-4.658566082	0.001	999	0.579667385
s19	19	2	20	1	1	0	0	1	0	0	0	0	64.58	0.604166667	6.340679721	0.125274257	0.129032258	0.426987061	9.24701371	460.9	349.616984	0.0425	0.1082	0.0023	49.32611471	69.5225777	69.5225777	4	8.5	6.75	3323.53	7.843697375	6.357337894	10.79	11.02	0.1875	1.54	27.487	102.936676	78.528862	0.25083746	2.28	9.089551457	34.2	21.5925926	1.644	36.2396	2.4269	0.2079325	41541.20005	62.88659793	52.94117647	55.85284281	0.001131612	3131	6.460718813	201.82054	3022	891.5125773	0.802662734	20	0.642880103	3022	0.001582525	0.004612765	0.001218705	1	-2.486442341	0.001	999	3022	0.082326476	0.11324311	0.005705769	1	-5.41848682	0.001	999	0.592505513
s20	20	2	20	1	0	1	0	0	1	0	0	0	64.58	0.583333333	5.088106593	0.186600246	0.193548387	0.573629082	7.28603323	536.2	318.7039283	0.1591	0.3102	0.0038	28.86420886	56.00543569	65.82894006	3.83	6	2.25	2852.94	7.675162461	6.357337894	10.55	11.02	0	2.116	28.82	100.9019	82.0011	0.2306351	2.39	10.36268981	23.6	19.85185185	1.62	33.20763	3.299	0.209026	40046.83407	100	86.55462185	85.95317726	0.00133402	3027	5.593214372	200.04616	2910	851.2207692	0.697814844	-84	-2.700096432	2910	0.002301797	0.004659114	0.002965274	37	-0.794974409	0.037	999	2910	0.075634964	0.109626858	0.012402399	1	-2.740751536	0.001	999	0.503429499
s21	21	2	20	1	1	0	0	0	0	0	0	1	62.5	0.604166667	6.001384846	0.081492318	0.066666667	0.551447936	8.04533866	420.9	317.5991686	0.0471	0.1082	0.0017	31.49923127	66.9439078	66.9439078	7.67	9.75	11.25	2823.53	7.5499652	6.357337894	10.86	11.02	0	1.887	29.881	93.99811	79.00345	0.2307341	2.31	10.01178413	23.3	20.55555556	1.63	37.02988	4.195375	0.2085375	40574.20004	100	93.27731092	87.95986622	0.00048974	3642	6.6021028	228.75872	3495	1097.127368	0.805106185	531	17.06846673	3495	0.001667946	0.004129028	0.001079189	1	-2.280492558	0.001	999	3495	0.083862779	0.113027718	0.005910735	1	-4.934232144	0.001	999	0.615024781
s22	22	2	20	1	0	0	1	1	0	0	0	0	64.58	0.5625	7.092739581	0.275661125	0.258064516	0.570856439	12.15784411	673.2	318.3074776	0.2484	0.5896	0.0264	33.83983777	32.41428995	42.23779431	7.33	9.25	10.25	1470.59	7.513063443	6.357337894	10.93	11.02	0	1.913	33.63	123.4968185	68.98258209	0.24093764	2.18	9.047984366	37.6	20.81481482	1.63	37.278005	4.2942	0.209625	36612.37514	100	89.91596639	83.9464883	0.000382881	2942	6.004527605	200.94263	2827	818.1469314	0.751802205	-169	-5.432336869	2827	0.001541307	0.004824785	0.002158021	1	-1.521522358	0.001	999	2827	0.085050146	0.111507639	0.009731266	1	-2.718812941	0.001	999	0.541952747
s23	23	2	20	1	1	0	0	0	0	0	1	0	66.67	0.635416667	7.325403464	0.093874726	0.09375	0.557609365	10.13941303	261.5	327.468274	0.0396	0.0784	0.002	42.33373681	65.49002915	75.31353352	6.33	10	12.5	3735.29	7.361216389	6.357337894	10.64	11.02	0	1.421	22.656	87.9972	74.0031	0.2508421	2.19	8.730591874	23.3	45.18518519	1.95	33.65663	3.3923	0.2209475	39735.29614	100	86.55462185	75.91973244	0.000526279	3552	6.629330454	226.67491	3405	1060.37365	0.810900877	441	14.17550627	3405	0.002220241	0.004234427	0.001291468	2	-1.559610114	0.002	999	3405	0.091363699	0.112396923	0.006705871	1	-3.13653887	0.001	999	0.574737856
s24	24	2	20	1	0	0	1	0	0	1	0	0	62.5	0.583333333	4.568633618	0.133333333	0.133333333	0.768354898	10.95329653	578.9	318.7108764	0.0043	0.0086	0.0021	62.08904447	60.36215987	64.13438555	6.67	10.25	14	2420.59	7.066399618	6.357337894	10.69	11.02	0	1.791	37.088	98.94806671	61.55627823	0.26631	1.92	7.209642897	22.9	28.2962963	1.73	29.7993	4.1978	0.214342975	38331.47681	100	86.55462185	71.90635452	0.000237903	3568	6.425411105	223.97029	3467	1065.951027	0.78552558	457	14.68981035	3467	0.001695109	0.004191813	0.00175401	1	-1.423426059	0.001	999	3467	0.086197115	0.111783577	0.008213648	1	-3.1151153	0.001	999	0.548923254
s25	25	2	20	1	0	0	0	1	1	0	0	0	66.67	0.604166667	6.904807767	0.182789957	0.1875	0.334565619	13.13594058	628.9	311.1007146	0.0596	0.1512	0.0042	40.09617588	40.57271032	50.39621469	6.33	6	5.25	2352.94	7.272903105	6.357337894	10.88	11.02	0	1.8021	38.001	99.99811	59.00931	0.258903	2.19	8.458766411	28.6	18.14814815	1.59	25.396323	3.75765	0.1379965	36588.61673	100	93.27731092	85.95317726	0.000247117	3052	6.035986848	197.41143	2962	859.9738942	0.752283596	-59	-1.896496303	2962	0.002396382	0.004616135	0.001987663	9	-1.116765486	0.009	999	2962	0.098400077	0.11177737	0.009897419	74	-1.351594037	0.074	999	0.517497946
s26	26	2	20	1	0	0	1	0	0	0	0	1	64.58	0.5625	7.092739581	0.248810183	0.258064516	0.642350092	13.59679014	668.1	335.4811601	0.2529	0.5896	0.0283	34.33543788	44.89014049	54.71364486	7.83	7.75	10.25	3411.76	7.547129909	6.357337894	10.78	11.02	0	1.849	28.764	107.2919617	57.51084137	0.258349	2.04	7.896295321	31	31.44444445	1.77	25.46533	3.0348875	0.17217125	36364.33518	100	89.91596639	71.90635452	0.000584965	3240	6.59679549	207.65227	3128	934.6144707	0.816098888	129	4.146576663	3128	0.001375537	0.004486352	0.001152151	1	-2.700005208	0.001	999	3128	0.097082454	0.112798891	0.005798076	2	-2.71062977	0.002	999	0.585185876
s27	27	2	20	1	0	1	0	0	0	1	0	0	68.75	0.583333333	6.73972454	0.297262325	0.303030303	0.686383241	8.25216082	487.1	340.442696	0.2816	0.5896	0.0289	62.16755538	62.19915519	72.02265956	11.17	9.5	15	4429.41	7.865488064	6.357337894	10.68	11.02	0	1.8023	30.0012	111.7187805	60.62164688	0.27009	2.02	7.478988485	25.8	22.40740741	1.65	31.561065	4.0840225	0.209135	35894.36091	100	89.91596639	79.93311037	0.001532809	2528	5.929764207	175.00958	2433	666.1682083	0.756812398	-583	-18.739955	2433	0.001875128	0.005177198	0.001615815	1	-2.043594746	0.001	999	2433	0.072433432	0.112294357	0.007218407	1	-5.522121785	0.001	999	0.587556933
s28	28	2	20	1	0	0	0	1	0	0	1	0	66.67	0.614583333	5.894243521	0.145616963	0.15625	0.646950092	8.02427344	621.1	342.488922	0.05	0.1082	0.0035	29.71310807	43.8930548	63.54006354	5.5	5.25	7.25	1941.18	7.675758298	6.357337894	10.57	11.02	0	1.6921	29.9981	102.9901	69.99012	0.250042	2.03	8.118636069	19.9	29.18518519	1.74	27.635905	3.35175	0.23867375	35201.61188	100	96.63865546	89.96655518	0.001275729	3005	6.195832187	198.68885	2932	841.8763631	0.773702145	-106	-3.407264545	2932	0.001933145	0.004586253	0.00165411	1	-1.603948262	0.001	999	2932	0.092920757	0.112486908	0.008176263	2	-2.393043208	0.002	999	0.537756531
s29	29	2	20	1	0	0	0	0	1	0	1	0	68.75	0.635416667	7.838787292	0.151390426	0.151515152	0.489833641	9.281675572	634.4	326.726236	0.0742	0.1512	0.0034	28.27047011	25.37083731	45.01784605	6	5	11	4558.82	7.545776591	6.357337894	10.51	11.02	0.0625	1.6293	28.11037	142.9211731	60.83670425	0.246902	2.06	8.343391305	20.2	42.44444445	1.92	27.9393	3.8007	0.18210225	40084.96674	87.62886598	89.91596639	75.91973244	0.001085867	2956	5.511506764	193.85628	2848	823.9652487	0.689663157	-155	-4.982320797	2848	0.002205742	0.004718185	0.002996447	19	-0.838473933	0.019	999	2848	0.085326205	0.108304712	0.012375789	12	-1.856730686	0.012	999	0.526695956
s30	30	2	20	1	0	0	0	0	1	1	0	0	75	0.625	12.11004387	0.345374363	0.333333333	0.659272951	12.84054874	687.8	336.046683	0.2704	0.5896	0.0292	62.45215743	59.47804448	59.47804448	11.33	8.5	12.25	5882.35	7.517212136	6.357337894	10.54	11.02	0.1875	1.901	30.291	100.911	58.99031	0.245521	2.25	9.164185548	20.6	23.07407408	1.66	34.32963	3.51975	0.20562775	37875.59426	62.88659793	59.66386555	59.86622074	0.000948882	2566	5.63154362	181.92593	2510	678.8039784	0.717384629	-545	-17.5184828	2510	0.002491973	0.005019006	0.002502124	26	-1.009955037	0.026	999	2510	0.086739966	0.110762772	0.010925917	3	-2.198699231	0.003	999	0.509963212
s31	31	2	20	1	0	0	0	0	0	1	0	1	70.83	0.604166667	8.697687947	0.249670097	0.294117647	0.685767098	10.5482698	483.4	335.7413231	0.2508	0.5896	0.0283	61.51002651	58.78548742	68.60899179	18	9	15.75	4185.29	7.745948399	6.357337894	10.38	11.02	0	1.882	25.359	166.0926819	42.5104866	0.25678	2.35	9.1518031	19.4	21.59259259	1.64	35.4077	3.12095125	0.20613975	36714.06425	100	89.91596639	87.95986622	0.002322461	2721	5.832206687	175.80299	2633	737.1190945	0.737436787	-390	-12.53616201	2633	0.001300056	0.004921357	0.001656947	1	-2.185526316	0.001	999	2633	0.074737112	0.112528216	0.007714945	1	-4.89842813	0.001	999	0.592415033
s32	32	2	20	1	0	0	0	0	0	0	1	1	64.58	0.614583333	5.423150035	0.101835024	0.096774194	0.464571781	9.69895843	232.5	357.577028	0.0546	0.1082	0.0013	38.78111815	41.55014901	54.91011495	9	6.25	13.25	1155.88	7.524087514	6.357337894	10.73	11.02	0	1.421	22.229	91.98141479	47.77000809	0.23974	2	8.342370902	43.5	19.40740741	1.61	35.0495155	3.8657	0.2375315	36294.6049	100	100	85.95317726	0.000622426	3265	6.442117338	216.09777	3149	943.454771	0.796206323	154	4.950176792	3149	0.001933919	0.004441518	0.001456886	1	-1.721203974	0.001	999	3149	0.085946885	0.112370968	0.006784443	1	-3.894804873	0.001	999	0.604158468
s33	33	4	10	2	1	1	0	1	1	0	0	0	68.75	0.59375	17.50663661	0.285776211	0.151057502	0.547514936	9.62714518	538	335.563234	0.1975	0.4399	0.0064	37.46115348	64.11768559	73.94118996	5.83	5.75	9	9705.88	7.691658749	6.357337894	10.75	11.02	0	1.099	14.834	131.956955	37.55381775	0.269043	2.64	9.812557844	35	33.07407408	1.79	35.91824	4.071	0.215857025	37148.02301	100	96.63865546	93.97993311	0.000874297	3895	6.926245046	237.14753	3773	1206.482797	0.837772943	784	25.20090003	3773	0.001236105	0.003954031	0.000796311	1	-3.413145099	0.001	999	3773	0.085944425	0.113395483	0.004232553	1	-6.485697085	0.001	999	0.595437136
s34	34	4	10	2	0	1	0	1	0	1	1	0	72.92	0.598958333	16.88776482	0.434413789	0.218293694	0.738755391	11.14958608	620.4	332.2083228	0.3596	0.7988	0.0304	66.62795644	61.19224599	71.01575036	12	9.5	13	5494.12	7.596187131	6.357337894	10.71	11.02	0	1.571	6.397	116.3334045	41.85197449	0.260986	2.23	8.544519629	31.9	30.25925926	1.758	37.09335	4.254925	0.20822975	42421.46528	100	79.83193277	85.95317726	0.000769462	3305	6.111711906	208.76309	3240	958.2333102	0.754235133	194	6.235936998	3240	0.001313607	0.004323892	0.00221792	1	-1.357255791	0.001	999	3240	0.084308574	0.111024172	0.010632447	1	-2.512648254	0.001	999	0.530936288
s35	35	4	10	2	1	0	0	1	1	1	0	0	77.08	0.614583333	22.98136808	0.436084829	0.225782921	0.645717807	12.62702401	675	334.7132632	0.3088	0.7193	0.0303	66.17161177	61.57536266	66.48711485	12	11	14	5194.12	7.786480635	6.357337894	10.75	11.02	0.25	1.607	21.154	106.2724533	72.85292053	0.250009	2.07	8.279701931	31.7	36.40740741	1.84	35.514645	4.0843725	0.20843375	40648.44358	50.51546391	52.94117647	47.82608696	0.001087629	3141	6.205809288	198.14602	3058	894.155628	0.770688125	30	0.964320154	3058	0.001295234	0.00447766	0.00194182	1	-1.638888527	0.001	999	3058	0.080924555	0.111245231	0.009398663	1	-3.226062688	0.001	999	0.539037895
s36	36	4	10	2	0	1	0	0	1	0	1	1	68.75	0.598958333	15.9423643	0.255627133	0.133931481	0.764448552	13.27939472	621.5	360.54518	0.2107	0.4399	0.0045	26.46471918	48.60342515	58.42692951	8.83	9.25	9.75	1588.24	7.977875775	6.357337894	10.8	11.02	0	1.467	13.649	90.04971313	43.05303955	0.237654	2.24	9.425467276	34.3	35.66666667	1.83	34.2540325	4.2454975	0.1851365	34341.97462	100	89.91596639	83.9464883	0.001506176	3408	6.462087586	221.21814	3314	1002.850702	0.79446548	297	9.546769527	3314	0.002001556	0.004311174	0.001777224	2	-1.299565349	0.002	999	3314	0.095037908	0.111777089	0.007627429	4	-2.194603314	0.004	999	0.575236086
s37	37	4	10	2	1	1	1	1	0	0	0	0	68.75	0.572916667	16.88778032	0.413211169	0.204676352	0.654959951	13.17663475	665.3	347.683188	0.3542	0.7988	0.03	66.6524911	61.16179313	61.16179313	9	7.5	9.5	3117.65	8.028347845	6.357337894	10.67	11.02	0	1.431	14.88	140.8731995	49.95861053	0.259009	2.33	8.9958264	19.6	30.40740741	1.759	29.7633925	4.249725	0.214445375	33792.46986	100	86.55462185	81.93979933	0.002282169	3234	6.555514663	209.07128	3136	931.6911689	0.811177988	123	3.953712633	3136	0.002580994	0.0044399	0.001190282	6	-1.561736494	0.006	999	3136	0.093633852	0.112573661	0.006160911	1	-3.074189567	0.001	999	0.576739685
