OUT ID	s01	s02	s03	s04	s05	s06	s07	s08	s09	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	sum1	sum2	phylum	class	order	family	genus	specie
OTU2084	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	4	 Acidobacteria	 Acidobacteria	 Subgroup 4	 DS-100	 norank	 norank
OTU8671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	4	 Acidobacteria	 Acidobacteria	 Subgroup 6	 norank	 norank	 norank
OTU3137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	5	4	 Acidobacteria	 Acidobacteria	 Subgroup 7	 norank	 norank	 norank
OTU6698	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	 Acidobacteria	 Acidobacteria	 norank	 norank	 norank	 norank
OTU7602	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	6	4	 Acidobacteria	 Acidobacteria	 Subgroup 6	 norank	 norank	 norank
OTU6079	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	 Acidobacteria	 Acidobacteria	 Acidobacteriales	 Acidobacteriaceae (Subgroup 1)	 Candidatus Koribacter	 uncultured bacterium
OTU7729	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	 Acidobacteria	 Acidobacteria	 Acidobacteriales	 Acidobacteriaceae (Subgroup 1)	 Telmatobacter	 uncultured Acidobacteria bacterium
OTU8035	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	6	5	 Acidobacteria	 Acidobacteria	 Acidobacteriales	 Acidobacteriaceae (Subgroup 1)	 uncultured	 uncultured Acidobacteria bacterium
OTU7233	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	6	5	 Acidobacteria	 Acidobacteria	 Acidobacteriales	 Acidobacteriaceae (Subgroup 1)	 uncultured	 uncultured bacterium
OTU8710	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	 Acidobacteria	 Acidobacteria	 Subgroup 17	 norank	 norank	 norank
OTU6763	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	6	5	 Acidobacteria	 Acidobacteria	 Subgroup 3	 Unknown Family	 Bryobacter	 uncultured bacterium
OTU6906	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	5	 Acidobacteria	 Acidobacteria	 Subgroup 3	 Unknown Family	 Bryobacter	 uncultured bacterium
OTU2541	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	 Acidobacteria	 Acidobacteria	 Subgroup 3	 Unknown Family	 Bryobacter	Unclassified
OTU7428	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	 Acidobacteria	 Acidobacteria	 Subgroup 3	 Unknown Family	 Candidatus Solibacter	 uncultured Acidobacteria bacterium
OTU2577	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	5	 Acidobacteria	 Acidobacteria	 Subgroup 4	 Unknown Family	 Blastocatella	 uncultured bacterium
OTU4848	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	5	 Acidobacteria	 Acidobacteria	 Subgroup 9	 norank	 norank	 norank
OTU1634	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	5	 Acidobacteria	 Acidobacteria	 Subgroup 3	 Unknown Family	 Bryobacter	 uncultured bacterium
OTU3312	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	7	6	 Acidobacteria	 Acidobacteria	 Acidobacteriales	 Acidobacteriaceae (Subgroup 1)	 Terriglobus	 uncultured bacterium
OTU2195	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	6	 Acidobacteria	 Acidobacteria	 Acidobacteriales	 Acidobacteriaceae (Subgroup 1)	 uncultured	 uncultured bacterium
OTU599	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	7	6	 Acidobacteria	 Acidobacteria	 Holophagales	 Holophagaceae	 Holophaga	Unclassified
OTU3472	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	6	 Acidobacteria	 Acidobacteria	 norank	 norank	 norank	 norank
OTU8616	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	 Acidobacteria	 Acidobacteria	 norank	 norank	 norank	 norank
OTU5906	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	7	6	 Acidobacteria	 Acidobacteria	 Subgroup 10	 ABS-19	 norank	 norank
OTU2235	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	7	6	 Acidobacteria	 Acidobacteria	 Subgroup 10	 Sva0725	 norank	 norank
OTU4719	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	6	 Acidobacteria	 Acidobacteria	 Subgroup 11	 norank	 norank	 norank
OTU1633	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	6	 Acidobacteria	 Acidobacteria	 Subgroup 13	 norank	 norank	 norank
OTU8544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	6	 Acidobacteria	 Acidobacteria	 Subgroup 3	 Unknown Family	 Bryobacter	 uncultured Acidobacteria bacterium
OTU5531	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	6	 Acidobacteria	 Acidobacteria	 Subgroup 3	 Unknown Family	 Bryobacter	 uncultured bacterium
OTU705	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	 Acidobacteria	 Acidobacteria	 Acidobacteriales	 Acidobacteriaceae (Subgroup 1)	 uncultured	 uncultured Acidobacteria bacterium
OTU3888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	8	6	 Acidobacteria	 Acidobacteria	 Subgroup 10	 Sva0725	 norank	 norank
OTU1261	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	6	 Acidobacteria	 Acidobacteria	 Subgroup 25	 norank	 norank	 norank
OTU1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	8	6	 Acidobacteria	 Acidobacteria	 Subgroup 25	 norank	 norank	 norank
OTU8508	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	 Acidobacteria	 Acidobacteria	 Subgroup 3	 SJA-149	 norank	 norank
OTU8664	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	6	 Acidobacteria	 Acidobacteria	 Subgroup 4	 11-24	 norank	 norank
OTU7302	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	8	6	 Acidobacteria	 Acidobacteria	 Subgroup 6	 norank	 norank	 norank
OTU2607	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	9	7	 Acidobacteria	 Acidobacteria	 Subgroup 17	 norank	 norank	 norank
OTU8536	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	7	 Acidobacteria	 Acidobacteria	 Acidobacteriales	 Acidobacteriaceae (Subgroup 1)	 uncultured	 uncultured Acidobacteria bacterium
OTU1362	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	9	7	 Acidobacteria	 Acidobacteria	 Acidobacteriales	 Acidobacteriaceae (Subgroup 1)	 uncultured	 uncultured bacterium
OTU7644	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	9	7	 Acidobacteria	 Acidobacteria	 Subgroup 17	 norank	 norank	 norank
OTU6726	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	9	7	 Acidobacteria	 Acidobacteria	 Subgroup 3	 AKIW659	 norank	 norank
OTU5265	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	9	7	 Acidobacteria	 Acidobacteria	 Subgroup 3	 Unknown Family	 Candidatus Solibacter	Unclassified
OTU1531	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	9	7	 Acidobacteria	 Acidobacteria	 Subgroup 6	 norank	 norank	 norank
OTU7035	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	9	7	 Acidobacteria	 Acidobacteria	 Subgroup 6	 norank	 norank	 norank
OTU7092	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	7	 Acidobacteria	 Acidobacteria	 Subgroup 6	 norank	 norank	 norank
OTU8033	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	9	7	 Acidobacteria	 Acidobacteria	 Subgroup 6	 norank	 norank	 norank
OTU1119	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	9	7	 Acidobacteria	 Acidobacteria	 Subgroup 7	 norank	 norank	 norank
OTU6108	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	9	7	 Acidobacteria	 Acidobacteria	 Subgroup 7	 norank	 norank	 norank
OTU2010	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	10	7	 Acidobacteria	 Acidobacteria	 Subgroup 4	 RB41	 norank	 norank
